1	-0.0104	0
0.99	-0.0071	0
0.98	-0.0039	0
0.97	-0.0009	0
0.95	0.0049	0
0.92	0.0131	0
0.9	0.0181	0
0.87	0.0251	0
0.85	0.0294	0
0.82	0.0353	0
0.8	0.0389	0
0.77	0.0439	0
0.75	0.0469	0
0.72	0.0509	0
0.7	0.0533	0
0.68	0.0555	0
0.65	0.0585	0
0.62	0.061	0
0.6	0.0625	0
0.57	0.0645	0
0.55	0.0656	0
0.53	0.0666	0
0.5	0.0678	0
0.48	0.0684	0
0.45	0.0692	0
0.43	0.0695	0
0.4	0.0697	0
0.38	0.0698	0
0.35	0.0696	0
0.33	0.0692	0
0.3	0.0685	0
0.27	0.0673	0
0.25	0.0664	0
0.22	0.0646	0
0.2	0.0632	0
0.17	0.0606	0
0.15	0.0585	0
0.12	0.0548	0
0.1	0.0518	0
0.07	0.0462	0
0.05	0.0411	0
0.04	0.0381	0
0.03	0.0343	0
0.02	0.0293	0
0.01	0.0219	0
0.005	0.0158	0
0.002	0.0095	0
0	0	0
0.002	-0.0093	0
0.005	-0.016	0
0.01	-0.0221	0
0.02	-0.0295	0
0.03	-0.0344	0
0.04	-0.0381	0
0.05	-0.0412	0
0.07	-0.0462	0
0.1	-0.0517	0
0.12	-0.0547	0
0.15	-0.0585	0
0.17	-0.0606	0
0.2	-0.0633	0
0.22	-0.0647	0
0.25	-0.0666	0
0.28	-0.068	0
0.3	-0.0687	0
0.32	-0.0692	0
0.35	-0.0696	0
0.37	-0.0696	0
0.4	-0.0692	0
0.42	-0.0688	0
0.45	-0.0676	0
0.48	-0.0657	0
0.5	-0.0644	0
0.53	-0.0614	0
0.55	-0.0588	0
0.58	-0.0543	0
0.6	-0.0509	0
0.63	-0.0451	0
0.65	-0.041	0
0.68	-0.0346	0
0.7	-0.0302	0
0.73	-0.0235	0
0.75	-0.0192	0
0.77	-0.015	0
0.8	-0.0093	0
0.83	-0.0048	0
0.85	-0.0024	0
0.87	-0.0013	0
0.89	-0.0008	0
0.92	-0.0016	0
0.94	-0.0035	0
0.95	-0.0049	0
0.96	-0.0066	0
0.97	-0.0085	0
0.98	-0.0109	0
0.99	-0.0137	0
1	-0.0163	0
